Approved Symbol	Previous Symbols	Synonyms	Chromosome	Ensembl Gene ID	UCSC ID(supplied by UCSC)
ABHD17B	C9orf77, FAM108B1	CGI-67	9q21.2	ENSG00000107362	uc004ail.3
ABHD17C	FAM108C1		15q25.1	ENSG00000136379	uc002bfu.3
ABHD18	C4orf29	FLJ21106	4q28.2	ENSG00000164074	uc021xrt.1
ABI1	SSH3BP1	E3B1, ABI-1	10p12.1	ENSG00000136754	uc001isy.3
ABI1P1	SSH3BP1P, ABI1P		14q22		
ABI2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33	ENSG00000138443	uc002vaa.4
ABI3		NESH, SSH3BP3	17q21.3	ENSG00000108798	uc002iop.1
ABI3BP		NESHBP, DKFZP586L2024, TARSH	3q12.2	ENSG00000154175	uc003dun.3
ABL1	ABL	JTK7, c-ABL, p150	9q34.1	ENSG00000097007	uc004bzw.3
ABL2	ABLL	ARG	1q25.2	ENSG00000143322	uc001gmi.4
ABLIM1	LIMAB1, ABLIM	abLIM, limatin	10q25	ENSG00000099204	uc031wtt.1
ABLIM2		KIAA1808	4p16.1	ENSG00000163995	uc003gkj.4
ABLIM3		KIAA0843	5q33.1	ENSG00000173210	uc003lpy.2
ABO		A3GALNT, A3GALT1	9q34.2	ENSG00000175164	uc033djz.1
ABR		MDB	17p13	ENSG00000159842	uc002fsd.5
ABRA		STARS	8q23.1	ENSG00000174429	uc003ymm.4
ABRACL	C6orf115	PRO2013, HSPC280, Costars	6q24.1	ENSG00000146386	uc003qil.2
ABT1			6p21.31	ENSG00000146109	uc003nii.3
ABT1P1			4q23	ENSG00000250496	
ABTB1		BPOZ, EF1ABP, Btb3, BTBD21	3q21	ENSG00000114626	uc003ejt.3
ABTB2		DKFZP586C1619, BTBD22, ABTB2A	11p13	ENSG00000166016	uc001mvl.2
ACAA1			3p22.2	ENSG00000060971	uc003cht.3
ACAA2		DSAEC	18q21	ENSG00000167315	uc002ldw.4
ACACA	ACAC, ACC	ACC1	17q12	ENSG00000278540	uc032fee.1
ACACB		HACC275, ACC2, ACCB	12q24.1	ENSG00000076555	uc001toc.3
ACAD8			11q25	ENSG00000151498	uc001qhk.3
ACAD9		NPD002, MGC14452	3q21.3	ENSG00000177646	uc003ela.4
ACAD10		MGC5601	12q24.12	ENSG00000111271	uc009zvx.3
ACAD11		FLJ12592	3q22.1	ENSG00000240303	
ACADL		LCAD, ACAD4	2q34	ENSG00000115361	uc002vdz.4
ACADM		MCAD, MCADH, ACAD1	1p31	ENSG00000117054	uc009wbp.4
ACADS		SCAD, ACAD3	12q24.31	ENSG00000122971	uc001tza.4
ACADSB		SBCAD, ACAD7	10q26.13	ENSG00000196177	uc001lhb.3
ACADVL		VLCAD, LCACD, ACAD6	17p13.1	ENSG00000072778	uc002gev.4
ACAN	MSK16, CSPG1, AGC1	CSPGCP	15q26.1	ENSG00000157766	uc010upo.1
ACAP1	CENTB1	KIAA0050	17p13.1	ENSG00000072818	uc002ggd.2
ACAP2	CENTB2	KIAA0041, CNT-B2	3q29	ENSG00000114331	uc003fun.4
ACAP2-IT1			3q29	ENSG00000229325	
ACAP3	CENTB5	KIAA1716	1p36	ENSG00000131584	uc001aeb.2
ACAT1	ACAT	THIL	11q22.3	ENSG00000075239	uc001pjy.3
ACAT2			6q25.3	ENSG00000120437	uc010kjy.3
ACBD3	GOLPH1, GOCAP1	GCP60, PAP7	1q41	ENSG00000182827	uc001hpy.3
ACBD4		FLJ13322	17q21.31	ENSG00000181513	uc002iif.3
ACBD5		DKFZp434A2417, KIAA1996	10p12.1	ENSG00000107897	uc010qdp.2
ACBD6		MGC2404	1q25.3	ENSG00000230124	uc001gog.3
ACBD7		FLJ38219, bA455B2.2	10p13	ENSG00000176244	uc010qby.1
ACCS		PHACS, ACS	11p11	ENSG00000110455	uc009yks.1
ACCSL			11p11.2	ENSG00000205126	uc001mxw.1
ACD		Ptop, Pip1, Tpp1, Tint1	16q22	ENSG00000102977	uc002etq.4
ACE	DCP1	ACE1, CD143	17q23.3	ENSG00000159640	uc002jau.2
ACE2			Xp22	ENSG00000130234	uc004cxb.2
ACE3P			17q23.3	ENSG00000224353	
ACER1	ASAH3		19p13.3	ENSG00000167769	uc002mel.2
ACER2	ASAH3L	FLJ41587	9p21.3	ENSG00000177076	uc003zny.1
ACER3	PHCA	FLJ11238, APHC	11q13.5	ENSG00000078124	uc009yum.1
ACHE	YT		7q22	ENSG00000087085	uc003uxe.4
ACIN1	ACINUS	KIAA0670, fSAP152	14q11.2	ENSG00000100813	uc001wit.4
ACKR1	FY, DARC	CCBP1, GPD, Dfy, CD234	1q21-q22	ENSG00000213088	uc001ftp.4
ACKR2	CMKBR9, CCBP2	CCR10, D6, CCR9	3p21.3	ENSG00000144648	
ACKR3	CMKOR1, CXCR7	RDC1, GPR159	2q37.3	ENSG00000144476	
ACKR4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	3q22	ENSG00000129048	
ACLS			12p13.3-p11.2		
ACLY		ATPCL, CLATP, ACL	17q21.2	ENSG00000131473	uc002hyg.3
ACMSD			2q21.3	ENSG00000153086	uc002ttz.3
ACO1	IREB1	IRP1, IREBP	9p21.1	ENSG00000122729	uc003zqw.4
ACO2		ACONM	22q13.2	ENSG00000100412	uc003bac.3
ACOT1		ACH2, CTE-1, LACH2	14q24.3	ENSG00000184227	uc001xol.1
ACOT2		Mte1, ZAP128	14q24.3	ENSG00000119673	
ACOT4		FLJ31235, PTE-Ib, PTE2B	14q24.1	ENSG00000177465	uc001xoo.3
ACOT6	C14orf42		14q24.3	ENSG00000205669	uc001xop.3
ACOT7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	1p36	ENSG00000097021	uc001ams.3
ACOT8	PTE1	hACTE-III, hTE, PTE-2, NAP1	20q13.12	ENSG00000101473	uc002xqa.2
ACOT9		CGI-16, MT-ACT48, ACATE2	Xp22.11	ENSG00000123130	uc004dao.3
ACOT11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	1p32.3	ENSG00000162390	uc001cxl.2
ACOT12		Cach, THEAL, STARD15	5q14.1	ENSG00000172497	uc003khl.4
ACOT13	THEM2	HT012	6p22.1	ENSG00000112304	uc003nek.3
ACOX1		PALMCOX	17q25.1	ENSG00000161533	uc002jqe.4
ACOX2		BRCACOX, BRCOX, THCCox	3p14.3	ENSG00000168306	uc003dkl.3
ACOX3			4p15.3	ENSG00000087008	uc003glc.4
ACOXL		FLJ11042	2q13	ENSG00000153093	uc010yxk.1
ACP1		HAAP, LMW-PTP	2p25	ENSG00000143727	uc002qwf.3
ACP2		LAP	11p11.2	ENSG00000134575	uc001nei.3
ACP5		TRAP, HPAP	19p13.2	ENSG00000102575	uc002msj.4
ACP6		LPAP, ACPL1	1q21	ENSG00000162836	uc001epr.2
ACP7		FLJ16165, PAPL1	19q13.2	ENSG00000183760	
ACPP		ACP3, ACP-3, PAP	3q22.1	ENSG00000014257	uc003eop.4
ACPT			19q13.33	ENSG00000142513	uc002pta.1
ACR			22q13.33	ENSG00000100312	uc003bnh.4
ACRBP		SP32, OY-TES-1, CT23	12p13.31	ENSG00000111644	uc001qpu.1
ACRC			Xq13.1	ENSG00000147174	uc004eae.2
ACRV1		SPACA2, SP-10, D11S4365	11q24.2	ENSG00000134940	uc001qcs.3
ACSBG1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	15q23-q24	ENSG00000103740	uc002bdh.3
ACSBG2		BGR, PRTD-NY3, DKFZp434K1635	19p13.3	ENSG00000130377	uc002mef.2
ACSF2		FLJ20920, ACSMW	17q21.33	ENSG00000167107	uc010wmm.2
ACSF3			16q24.3	ENSG00000176715	uc010cig.3
ACSL1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	4q35.1	ENSG00000151726	uc003iwu.2
ACSL3	FACL3	ACS3, PRO2194	2q34-q35	ENSG00000123983	uc002vnj.3
ACSL4	FACL4, MRX63, MRX68	ACS4, LACS4	Xq22.3-q23	ENSG00000068366	uc004eoi.2
ACSL5	FACL5	ACS5, ACS2	10q25.2	ENSG00000197142	uc001kzu.3
ACSL6	FACL6	KIAA0837, ACS2, LACS5, LACS2	5q31	ENSG00000164398	uc003kvy.2
ACSM1	BUCS1	MACS1	16p12.3	ENSG00000166743	uc002dhm.1
ACSM2A	ACSM2	A-923A4.1, MGC150530	16p12.3	ENSG00000183747	uc010bwe.3
ACSM2B	ACSM2	HXMA, HYST1046	16p12.3	ENSG00000066813	uc002dhk.4
ACSM3	SAH	SA	16p13.11	ENSG00000005187	uc002dhr.3
ACSM4			12p13.31	ENSG00000215009	uc001qsx.1
ACSM5		FLJ20581	16p12.3	ENSG00000183549	uc002dhe.3
ACSM5P1			16p12.3	ENSG00000260762	
ACSM6	C10orf129	bA310E22.3	10q23.33	ENSG00000173124	uc001kke.3
ACSS1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	20p11.21	ENSG00000154930	uc002wub.3
ACSS2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	20q11.22	ENSG00000131069	uc010gey.2
ACSS3		FLJ21963	12q21.31	ENSG00000111058	uc001szl.1
ACTA1	ACTA	NEM3	1q42.13	ENSG00000143632	uc001htm.3
ACTA2		ACTSA	10q23.31	ENSG00000107796	uc001kfp.3
ACTA2-AS1		uc001kfo.1, ZXF1	10q23.31	ENSG00000180139	
ACTB			7p22	ENSG00000075624	uc003sot.4
ACTBL2		DKFZp686D0972	5q11.2	ENSG00000169067	uc003jrm.3
ACTBP1			Xp11.3	ENSG00000229145	
ACTBP2			5q14.1	ENSG00000213763	
ACTBP3			18q21.33		
ACTBP4			5q23.3		
ACTBP6			8q21.2	ENSG00000203413	
ACTBP7			15q15.3	ENSG00000185607	
ACTBP8		ACTBP2	6q15	ENSG00000220267	
ACTBP9			18q21.33	ENSG00000266920	
ACTBP10			14q11.2		
ACTBP11			1q41	ENSG00000188460	
ACTBP12	ACTGP5		1p22.1	ENSG00000233125	
ACTBP13			3p21.31	ENSG00000234667	
ACTBP14			10q22.1	ENSG00000229001	
ACTC1	ACTC	CMD1R	15q14	ENSG00000159251	uc001ziu.1
ACTG1	ACTG, DFNA20, DFNA26		17q25.3	ENSG00000184009	uc002kal.2
ACTG1P1	ACTGP1, ACT1GP1		3q23	ENSG00000178631	
ACTG1P2	ACTL2, ACTGP2		Yq11.222	ENSG00000229129	
ACTG1P3	ACTGP3		20p13	ENSG00000215388	
ACTG1P4	ACTGP4		1p21	ENSG00000236085	
ACTG1P6	ACTGP6		1p21		
ACTG1P7	ACTGP7		1p21		
ACTG1P8	ACTGP8		1p21		
ACTG1P9	ACTGP9		6p12.3	ENSG00000229349	
ACTG1P10	ACTL1, ACTGP10		Xp11.22	ENSG00000231340	
ACTG1P11			Yq11.222	ENSG00000229465	
ACTG1P12			3p25.2	ENSG00000226642	
ACTG1P13			3q12.1	ENSG00000241305	
ACTG1P14			9p24.1	ENSG00000230581	
ACTG1P15			15q14	ENSG00000259904	
ACTG1P16			16q12.1	ENSG00000260298	
ACTG1P17			15q25.2	ENSG00000259315	
ACTG1P18			6q16.3	ENSG00000218475	
ACTG1P19			9q31.1	ENSG00000237999	
ACTG1P20			1p36.11	ENSG00000241547	
ACTG1P21			1p31.1	ENSG00000232672	
ACTG1P22			2p16.1	ENSG00000271615	
ACTG1P23			3q26.31	ENSG00000230362	
ACTG1P24	POTENP		17p11.2	ENSG00000226359	
ACTG2	ACTL3, ACTA3	ACTSG	2p13.1	ENSG00000163017	uc002sjw.3
ACTL6A		Actl6, BAF53A, Arp4, Baf53a, INO80K	3q26.33	ENSG00000136518	uc003fjw.3
ACTL6B	ACTL6	BAF53B	7q22	ENSG00000077080	uc003uvy.3
ACTL7A			9q31	ENSG00000187003	uc004bdj.2
ACTL7B		Tact1	9q31	ENSG00000148156	uc004bdi.3
ACTL8		CT57	1p36.13	ENSG00000117148	uc001bat.3
ACTL9		MGC33407	19p13.2	ENSG00000181786	uc032hly.1
ACTL10	C20orf134		20q11.22	ENSG00000182584	uc002wzt.3
ACTN1			14q24.1	ENSG00000072110	uc001xkm.3
ACTN1-AS1	C14orf84		14q24.1	ENSG00000259062	uc031qpf.1
ACTN2			1q42-q43	ENSG00000077522	uc001hyf.3
ACTN3			11q13.2	ENSG00000248746	uc031xsh.1
ACTN4	FSGS1		19q13	ENSG00000130402	uc002oja.2
ACTN4P1			4q26	ENSG00000213493	
ACTN4P2			1p34.3	ENSG00000214141	
ACTP1			2q12.3	ENSG00000229890	
ACTR1A		ARP1, Arp1A	10q24	ENSG00000138107	uc001kvv.3
ACTR1B	CTRN2	Arp1B	2q11.2	ENSG00000115073	uc002syb.2
ACTR2		ARP2	2p14	ENSG00000138071	uc002sdp.3
ACTR3		ARP3	2q14.1	ENSG00000115091	uc002tkx.2
ACTR3B		ARP11, ARP3beta	7q36.1	ENSG00000133627	uc003wle.2
ACTR3BP1			Yq11.21	ENSG00000270242	
ACTR3BP2		FKSG73	2p11.1	ENSG00000226481	uc010yuc.2
ACTR3BP3			16p11.2	ENSG00000260327	
ACTR3BP4			4q24	ENSG00000249283	
ACTR3BP5			10p11.1	ENSG00000227264	uc021ppf.2
ACTR3BP6			22q11.1	ENSG00000226444	
ACTR3C		ARP11	7q36.1	ENSG00000106526	uc022aps.1
ACTR3P1			14q11.2		
ACTR3P2			Xq13.1	ENSG00000232267	
ACTR3P3			3q12.2	ENSG00000242573	
ACTR5		FLJ12785, Arp5, INO80M	20q12	ENSG00000101442	uc002xjd.2
ACTR6		ARP6, FLJ13433	12q23.1	ENSG00000075089	uc001thb.2
ACTR6P1			4q25	ENSG00000248915	
ACTR8		INO80N	3p21.31	ENSG00000113812	uc003dhd.4
ACTR10		HARP11, ACTR11, Arp11, Arp10	14q23.1	ENSG00000131966	uc001xdf.3
ACTRT1		AIP1, KIAA0705, ARIP1, Arp-T1	Xq25	ENSG00000123165	uc004eum.3
ACTRT2		Arp-T2, ARPM2, FLJ25424	1p36.3	ENSG00000169717	uc001ajz.3
ACTRT3		ARPM1	3q26.2	ENSG00000184378	uc003ffs.2
ACVR1	ACVRLK2	SKR1, ALK2, ACVR1A	2q23-q24	ENSG00000115170	uc010fog.2
ACVR1B	ACVRLK4	ALK4, SKR2, ActRIB	12q13	ENSG00000135503	uc001rzn.3
ACVR1C		ALK7, ACVRLK7	2q24.2	ENSG00000123612	uc002tzk.4
ACVR2A	ACVR2	ACTRII	2q22.2-q23.3	ENSG00000121989	uc002twg.4
ACVR2B		ActR-IIB	3p22	ENSG00000114739	uc003cif.3
ACVR2B-AS1			3p22.2	ENSG00000229589	uc003cie.2
ACVRL1	ACVRLK1, ORW2	HHT2, ALK1, HHT	12q13.13	ENSG00000139567	uc001rzk.3
ACY1			3p21.2	ENSG00000243989	uc003dcq.3
ACY3		HCBP1, MGC9740, ACY-3	11q13.2	ENSG00000132744	uc001omq.3
ACYP1			14q24.3	ENSG00000119640	uc001xrg.3
ACYP2			2p16.2	ENSG00000170634	uc002rxq.4
AD5			12p11.23-q13.12		
ADA			20q13.12	ENSG00000196839	uc002xmj.3
ADAD1		Tenr	4q27	ENSG00000164113	uc003iep.3
ADAD1P1			3p22.2		
ADAD1P2			18q21.1	ENSG00000267511	
ADAD2		TENRL, FLJ00337	16q24.1	ENSG00000140955	uc002fhr.2
ADAL			15q15.3	ENSG00000168803	uc010udo.3
ADAM1A	ADAM1	FTNAP, PH-30a, Ftna, ADAM1P	12q24.13	ENSG00000229186	uc021rea.1
ADAM1B			12q24.13	ENSG00000226469	
ADAM2	FTNB	PH-30b, PH30, CT15	8p11.2	ENSG00000104755	uc003xnj.4
ADAM3A	CYRN1	ADAM3, tMDCI	8p11.22	ENSG00000197475	uc003xnf.4
ADAM3B	CYRN2		16q12.1	ENSG00000260089	
ADAM5	ADAM5P	tMDCII	8p11.23	ENSG00000196115	uc003xnb.3
ADAM6	C14orf96	tMDCIV	14q32.33	ENSG00000271968	uc001ysu.2
ADAM7		GP-83, EAPI	8p21.2	ENSG00000069206	uc003xeb.3
ADAM8		CD156, MS2, CD156a	10q26.3	ENSG00000151651	uc021qbe.1
ADAM9	CORD9	MDC9, KIAA0021, MCMP, Mltng	8p11.23	ENSG00000168615	uc003xmr.3
ADAM10		kuz, MADM, HsT18717, CD156c	15q2	ENSG00000137845	uc002afd.2
ADAM11	MDC		17q21.3	ENSG00000073670	uc002ihh.3
ADAM12		MCMPMltna, MLTN	10q26	ENSG00000148848	uc031wwt.1
ADAM15		MDC15	1q21.3	ENSG00000143537	uc001fgr.2
ADAM17	TACE	cSVP, CD156B	2p25	ENSG00000151694	uc002qzu.4
ADAM18		tMDCIII, ADAM27	8p11.22	ENSG00000168619	uc003xni.3
ADAM19		MLTNB	5q33.3	ENSG00000135074	uc003lwz.4
ADAM20			14q24.2	ENSG00000134007	uc001xme.3
ADAM20P1	C14orf55		14q24.2	ENSG00000259158	uc021rvr.1
